id;device;profile;timestamp_utc;Angle1;Angle2;Amplitude;Direction;
23399903;2648;9;2020-08-26 09:09:07.07;;;0;4;
23399896;2648;9;2020-08-26 09:09:01.01;0;0;;;
23399831;2649;9;2020-08-26 09:07:58.58;;;0;1;
23399810;2651;9;2020-08-26 09:07:29.29;;;0;2;
23399806;2651;9;2020-08-26 09:07:25.25;-7;0;;;
23399767;2649;9;2020-08-26 09:06:53.53;0;0;;;
23399724;2649;9;2020-08-26 09:05:42.42;0;0;;;
23399548;2650;9;2020-08-26 09:01:50.50;;;0;1;
23399544;2650;9;2020-08-26 09:01:42.42;0;0;;;
23399456;2644;9;2020-08-26 08:59:47.47;;;0;1;
23399452;2644;9;2020-08-26 08:59:39.39;1,5;-14;;;
23399447;2645;9;2020-08-26 08:59:36.36;;;0;4;
23399439;2645;9;2020-08-26 08:59:28.28;0,5;0;;;
23399438;2642;9;2020-08-26 08:59:27.27;;;0;4;
23399054;2649;9;2020-08-26 08:51:20.20;;;0;2;
23399053;2649;9;2020-08-26 08:51:19.19;0;0;;;
23399028;2649;9;2020-08-26 08:50:49.49;;;0;2;
23398976;2646;9;2020-08-26 08:49:40.40;;;0;4;
23398975;2646;9;2020-08-26 08:49:39.39;0;0;;;
23398943;2643;9;2020-08-26 08:48:53.53;0;0;;;
23398919;2643;9;2020-08-26 08:48:26.26;;;0;4;
23398913;2643;9;2020-08-26 08:48:20.20;0;0;;;
23398584;2647;9;2020-08-26 08:41:47.47;;;0;4;
23398583;2647;9;2020-08-26 08:41:45.45;0;0;;;
23398579;2647;9;2020-08-26 08:41:41.41;;;0;4;
23398577;2647;9;2020-08-26 08:41:37.37;0;0;;;
23398477;2648;9;2020-08-26 08:39:23.23;;;0,5;4;
23398475;2648;9;2020-08-26 08:39:22.22;0;0;;;
23398441;2648;9;2020-08-26 08:38:49.49;0;0;;;
23398440;2648;9;2020-08-26 08:38:47.47;;;0,5;4;
23398434;2648;9;2020-08-26 08:38:43.43;0;0;;;
23398354;2651;9;2020-08-26 08:37:20.20;;;0;2;
23398353;2651;9;2020-08-26 08:37:19.19;-7;0;;;
23398237;2648;9;2020-08-26 08:34:55.55;0;0;;;
23398106;2650;9;2020-08-26 08:31:55.55;;;0;4;
23398103;2650;9;2020-08-26 08:31:54.54;0;0;;;
23398089;2650;9;2020-08-26 08:31:39.39;;;0;4;
23398084;2650;9;2020-08-26 08:31:35.35;0;0;;;
23398019;2642;9;2020-08-26 08:30:16.16;;;0;2;
23398018;2642;9;2020-08-26 08:30:15.15;0;0;;;
23397985;2644;9;2020-08-26 08:29:27.27;;;0,5;4;
23397983;2645;9;2020-08-26 08:29:26.26;0,5;0;;;
23397979;2644;9;2020-08-26 08:29:25.25;1,5;-14;;;
23397974;2644;9;2020-08-26 08:29:21.21;;;0,5;4;
23397964;2644;9;2020-08-26 08:29:17.17;1,5;-14;;;
23397831;2643;9;2020-08-26 08:26:59.59;0;0;;;
23397616;2649;9;2020-08-26 08:22:27.27;;;0;1;
23397615;2649;9;2020-08-26 08:22:26.26;0;0;;;
23397408;2643;9;2020-08-26 08:17:59.59;;;0;4;
23397406;2643;9;2020-08-26 08:17:58.58;0;0;;;
23397396;2643;9;2020-08-26 08:17:48.48;;;0;4;
23397390;2643;9;2020-08-26 08:17:44.44;0;0;;;
23397119;2647;9;2020-08-26 08:11:46.46;;;0;4;
23397117;2647;9;2020-08-26 08:11:40.40;0;0;;;
23397008;2648;9;2020-08-26 08:09:19.19;;;0;4;
23396974;2648;9;2020-08-26 08:08:32.32;;;0;2;
23396966;2648;9;2020-08-26 08:08:20.20;0;0;;;
23396873;2651;9;2020-08-26 08:06:57.57;;;0;4;
23396870;2651;9;2020-08-26 08:06:55.55;-7;0;;;
23396636;2650;9;2020-08-26 08:01:32.32;;;0;2;
23396634;2650;9;2020-08-26 08:01:27.27;0;0;;;
23396613;2642;9;2020-08-26 08:01:06.06;;;0;1;
23396609;2642;9;2020-08-26 08:01:01.01;0;0;;;
23396525;2645;9;2020-08-26 07:59:16.16;;;0;4;
23396520;2645;9;2020-08-26 07:59:10.10;0,5;0;;;
23396512;2644;9;2020-08-26 07:59:01.01;;;0;1;
23396507;2644;9;2020-08-26 07:58:57.57;1,5;-14;;;
23396154;2646;9;2020-08-26 07:51:42.42;;;0;2;
23396149;2646;9;2020-08-26 07:51:38.38;0;0;;;
23396121;2649;9;2020-08-26 07:50:55.55;;;0;4;
23396117;2649;9;2020-08-26 07:50:51.51;0;0;;;
23395946;2643;9;2020-08-26 07:47:15.15;;;0;4;
23395940;2643;9;2020-08-26 07:47:11.11;0;0;;;
23395706;2647;9;2020-08-26 07:41:49.49;;;0;4;
23395702;2647;9;2020-08-26 07:41:42.42;0;0;;;
23395552;2648;9;2020-08-26 07:38:13.13;;;0;4;
23395550;2648;9;2020-08-26 07:38:12.12;0;0;;;
23395548;2648;9;2020-08-26 07:38:12.12;;;0;4;
23395543;2648;9;2020-08-26 07:38:09.09;0;0;;;
23395468;2651;9;2020-08-26 07:36:45.45;;;0;4;
23395465;2651;9;2020-08-26 07:36:40.40;-7;0;;;
23395429;2649;9;2020-08-26 07:35:46.46;;;0;4;
23395372;2649;9;2020-08-26 07:34:40.40;0;0;;;
23395327;2649;9;2020-08-26 07:33:26.26;0;0;;;
23395246;2642;9;2020-08-26 07:31:55.55;;;0;4;
23395239;2642;9;2020-08-26 07:31:50.50;0;0;;;
23395216;2650;9;2020-08-26 07:31:24.24;;;0;4;
23395215;2650;9;2020-08-26 07:31:21.21;0;0;;;
23395102;2645;9;2020-08-26 07:29:05.05;;;0;2;
23395099;2645;9;2020-08-26 07:29:01.01;0,5;0;;;
23395083;2644;9;2020-08-26 07:28:37.37;;;0;4;
23394814;2646;9;2020-08-26 07:22:57.57;;;0;2;
23394812;2646;9;2020-08-26 07:22:54.54;0;0;;;
23394732;2649;9;2020-08-26 07:21:02.02;;;0;1;
23394727;2649;9;2020-08-26 07:20:54.54;0;0;;;
23394573;2648;9;2020-08-26 07:17:57.57;;;0;2;
23394511;2648;9;2020-08-26 07:16:47.47;;;0;2;
23394505;2643;9;2020-08-26 07:16:40.40;;;0;4;
23394496;2643;9;2020-08-26 07:16:33.33;0;0;;;
23394485;2648;9;2020-08-26 07:16:05.05;0;0;;;
23394297;2647;9;2020-08-26 07:11:51.51;;;0;4;
23394293;2647;9;2020-08-26 07:11:45.45;0;0;;;
23394206;2648;9;2020-08-26 07:09:44.44;;;0;1;
23394156;2648;9;2020-08-26 07:08:35.35;0;0;;;
23394109;2648;9;2020-08-26 07:07:54.54;;;0;1;
23394106;2648;9;2020-08-26 07:07:52.52;0;0;;;
23394032;2651;9;2020-08-26 07:06:28.28;;;0;2;
23394024;2651;9;2020-08-26 07:06:23.23;-7;0;;;
23393957;2649;9;2020-08-26 07:05:04.04;;;0,5;4;
23393926;2649;9;2020-08-26 07:04:18.18;0;0;;;
23393886;2649;9;2020-08-26 07:03:20.20;0;0;;;
23393858;2642;9;2020-08-26 07:02:43.43;;;0;4;
23393854;2642;9;2020-08-26 07:02:38.38;0;0;;;
23393799;2650;9;2020-08-26 07:01:17.17;;;0;1;
23393796;2650;9;2020-08-26 07:01:14.14;0;0;;;
23393689;2645;9;2020-08-26 06:58:57.57;;;0;4;
23393685;2645;9;2020-08-26 06:58:53.53;0,5;0;;;
23393643;2644;9;2020-08-26 06:58:17.17;;;0;1;
23393634;2644;9;2020-08-26 06:58:10.10;1,5;-14;;;
23393437;2646;9;2020-08-26 06:54:14.14;;;0;1;
23393434;2646;9;2020-08-26 06:54:10.10;0;0;;;
23393297;2649;9;2020-08-26 06:51:01.01;;;0;1;
23393293;2649;9;2020-08-26 06:50:57.57;0;0;;;
23393074;2643;9;2020-08-26 06:46:04.04;;;0;2;
23393070;2643;9;2020-08-26 06:45:57.57;0;0;;;
23393068;2648;9;2020-08-26 06:45:56.56;;;0;1;
23393042;2648;9;2020-08-26 06:45:14.14;0;0;;;
23392880;2647;9;2020-08-26 06:41:54.54;;;0;4;
23392872;2647;9;2020-08-26 06:41:48.48;0;0;;;
23392676;2648;9;2020-08-26 06:37:38.38;;;0;4;
23392673;2648;9;2020-08-26 06:37:32.32;0;0;;;
23392593;2651;9;2020-08-26 06:36:15.15;;;0;2;
23392588;2651;9;2020-08-26 06:36:08.08;-7;0;;;
23392454;2642;9;2020-08-26 06:33:30.30;;;0;1;
23392453;2642;9;2020-08-26 06:33:28.28;0;0;;;
23392358;2649;9;2020-08-26 06:31:43.43;;;0;4;
23392341;2650;9;2020-08-26 06:31:13.13;;;0;4;
23392338;2650;9;2020-08-26 06:31:06.06;0;0;;;
23392252;2649;9;2020-08-26 06:29:13.13;;;0;4;
23392236;2645;9;2020-08-26 06:28:45.45;;;0;1;
23392233;2645;9;2020-08-26 06:28:43.43;0,5;0;;;
23392215;2649;9;2020-08-26 06:28:25.25;0;0;;;
23392186;2644;9;2020-08-26 06:27:53.53;;;0;4;
23392180;2644;9;2020-08-26 06:27:48.48;1,5;-14;;;
23392051;2646;9;2020-08-26 06:25:29.29;;;0;1;
23392050;2646;9;2020-08-26 06:25:27.27;0;0;;;
23391877;2649;9;2020-08-26 06:21:08.08;;;0;4;
23391871;2649;9;2020-08-26 06:21:00.00;0;0;;;
23391600;2643;9;2020-08-26 06:15:26.26;;;0;4;
23391595;2643;9;2020-08-26 06:15:22.22;0;0;;;
23391450;2647;9;2020-08-26 06:11:54.54;;;0;4;
23391448;2647;9;2020-08-26 06:11:51.51;0;0;;;
23391237;2648;9;2020-08-26 06:07:19.19;;;0;4;
23391234;2648;9;2020-08-26 06:07:17.17;0;0;;;
23391155;2651;9;2020-08-26 06:05:56.56;;;0,5;2;
23391154;2651;9;2020-08-26 06:05:53.53;-7;0;;;
23391083;2642;9;2020-08-26 06:04:22.22;;;0;4;
23391077;2642;9;2020-08-26 06:04:15.15;0;0;;;
23390975;2648;9;2020-08-26 06:01:52.52;;;0;1;
23390938;2650;9;2020-08-26 06:01:04.04;;;0;2;
23390935;2650;9;2020-08-26 06:01:00.00;0;0;;;
23390759;2644;9;2020-08-26 05:57:29.29;;;0;1;
23390755;2644;9;2020-08-26 05:57:25.25;1,5;-14;;;
23390716;2646;9;2020-08-26 05:56:45.45;;;0;1;
23390713;2646;9;2020-08-26 05:56:43.43;0;0;;;
23390467;2649;9;2020-08-26 05:51:09.09;;;0;4;
23390462;2649;9;2020-08-26 05:51:03.03;0;0;;;
23390162;2643;9;2020-08-26 05:44:53.53;;;0;4;
23390158;2643;9;2020-08-26 05:44:49.49;0;0;;;
23390041;2647;9;2020-08-26 05:42:00.00;;;0;4;
23390033;2647;9;2020-08-26 05:41:53.53;0;0;;;
23389808;2648;9;2020-08-26 05:37:02.02;;;0;4;
23389806;2648;9;2020-08-26 05:36:59.59;0;0;;;
23389735;2651;9;2020-08-26 05:35:43.43;;;0;2;
23389728;2651;9;2020-08-26 05:35:36.36;-7;0;;;
23389710;2642;9;2020-08-26 05:35:11.11;;;0,5;4;
23389705;2642;9;2020-08-26 05:35:04.04;0;0;;;
23389697;2649;9;2020-08-26 05:35:00.00;;;0;4;
23389523;2649;9;2020-08-26 05:31:07.07;;;0;4;
