№;Участок;Вид ;Класс возраста;Уровень антропогенной нагрузки на уровне участка;Уровень антропогенной нагрузки на уровне дерева;Иденткификатор устройства;Диаметр ствола,см;Обхват ствола на высоте 1,3м , см;Обхват ствола на высоте установки, см;Высота установки, м;Категория состояни дерева
180;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0095;36.287;114;118;3.76;2
181;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0130;25.783;81;84;3.8;3
182;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0131;26.420;83;80;3.7;3
183;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0157;31.194;98;94;3.16;3
184;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0160;25.465;80;87;3.25;3
185;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0190;39.470;124;121;3.93;3
186;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0191;28.648;90;80;4.05;3
187;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0196;37.879;119;116;3.26;3
188;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0201;21.963;69;79;3.96;3
189;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0205;47.746;150;121;3.43;3
190;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0211;49.020;154;150;3.04;2
191;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0232;29.921;94;69;3.94;3
192;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0252;36.287;114;118;4;2
193;MS-7;Acer fraxinifolium;VI;Высокий;высокий;218A0254;46.473;146;131;3.4;3
194;MS-7;Populus nigra;VI;Высокий;высокий;218A0092;67.163;211;166;3.8;3
195;MS-7;Populus nigra;VI;Высокий;высокий;218A0215;90.718;285;207;3.7;3
