"","Site","SiteIndex","Species","age_group_index","antrop_load","in_site_antrop_load","id","d","DBH","DTT","installation_height","VTA_score"
"162","TIMIRYAZEV","MS-7","Quercus robur","VI","Low","Low","218A0291",39.1521160006063,123,115,3.5,2
"163","TIMIRYAZEV","MS-7","Tilia cordata","IV","Low","High","218A0257",27.6929600979898,87,79,3.5,2
"164","TIMIRYAZEV","MS-7","Tilia cordata","IV","Low","High","218A0298",28.1704249272655,88.5,83,3.5,2
"165","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","High","218A0065",53.4760608788768,168,147,3.5,2
"166","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","High","218A0073",48.70141258612,153,143,3.5,2
"167","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","High","218A0101",39.47042588679,124,115,3.5,3
"168","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","High","218A0126",37.2422566835035,117,110,3.5,4
"169","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","High","218A0150",36.9239467973197,116,103,3.5,3
"170","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","High","218A0177",45.2000038380983,142,128,3.6,2
"171","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0087",41.061975317709,129,119,3.5,3
"172","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0112",41.3802852038928,130,119,3.5,2
"173","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0176",35.3323973664008,111,104,3.5,3
"174","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0209",36.9239467973197,116,107,3.5,2
"175","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0246",39.7887357729738,125,116,3.5,2
"176","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0256",32.4676083907466,102,94,3.5,2
"177","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0279",41.3802852038928,130,118,3.6,2
"178","TIMIRYAZEV","MS-7","Tilia cordata","VI","Low","Low","218A0289",46.1549334966496,145,133,3.6,3
"179","GARDEN","OL-3","Acer platanoides","VI","Medium","High","218A0166",51.8845114479579,163,144,3.95,3
"180","GARDEN","OL-3","Aesculus flava","VI","Medium","High","218A0078",42.3352148624442,133,101,3.8,3
"181","GARDEN","OL-3","Carpinus betulus","IV","Medium","High","218A0294",35.9690171387684,113,111,3.55,2
"182","GARDEN","OL-3","Fraxinus excelsior","VI","Medium","High","218A0271",53.157750992693,167,145,3.23,3
"183","GARDEN","OL-3","Fraxinus ornus","VI","Medium","High","218A0265",35.014087480217,110,100,3.89,2
"184","GARDEN","OL-3","Juglans mandshurica","VI","Medium","High","218A0094",49.0197224723038,154,131,3.76,3
"185","GARDEN","OL-3","Junglas cinerea","VI","Medium","High","218A0272",44.5633840657307,140,131,3.9,2
"186","GARDEN","OL-3","Larix sibirica","V","Medium","High","218A0068",43.6084544071793,137,127,3.9,3
"187","GARDEN","OL-3","Malus domestica","IV","Medium","High","218A0132",33.422538049298,105,77,3.9,3
"188","GARDEN","OL-3","Populus nigra","VI","Medium","High","218A0105",74.8028232531908,235,211,3.8,2
"189","GARDEN","OL-3","Prunus avium","VI","Medium","High","218A0278",36.2873270249521,114,94,3.7,2
"190","GARDEN","OL-3","Pyrus communis","VI","Medium","High","218A0241",30.5577490736439,96,80,3.65,2
"191","GARDEN","OL-3","Quercus robur","VI","Medium","High","218A0091",42.653524748628,134,123.5,3.9,2
"192","GARDEN","OL-3","Quercus rubra","VI","Medium","High","218A0197",67.4816958709636,212,160,4.5,3
"193","GARDEN","OL-3","Robinia pseudoacacia","IV","Medium","High","218A0225",38.1971863420549,120,108,3.7,2
"194","GARDEN","OL-3","Salix alba","VI","Medium","High","218A0182",73.8478935946394,232,189,4,3
"195","GARDEN","OL-3","Tilia cordata","VI","Medium","High","218A0097",47.7464829275686,150,138,3.76,2
